Gene	AE1.CEL	AE2.CEL	AE3.CEL	AE4.CEL	AE5.CEL	AE6.CEL	AE7.CEL	AE8.CEL	AN1.CEL	AN2.CEL	AN3.CEL	AN4.CEL	AN5.CEL	AN6.CEL	AN7.CEL	AN8.CEL			
YKR009C	14.94589797	10.25057889	11.28507199	15.16095697	12.05853992	11.92401422	11.57808632	11.18767847	13.50375817	8.505660348	9.824265824	10.1416749	9.913402607	10.13460899	10.33962205	10.47121686			
YDL157C	12.59115428	13.23147899	13.33774551	11.83265444	12.51783399	12.19828546	12.36638934	12.34776852	12.88650637	12.85515301	13.19651633	13.23603928	13.77742567	13.28638813	13.03051579	13.00218532			
YER059W	10.07268389	9.616431046	9.3797775	10.54278217	10.02307932	9.956716123	9.859853768	10.02209744	9.75979623	9.532976451	9.596423418	9.679309667	9.56538276	9.516265901	9.758657076	9.746498394			
YGL059W	11.28936703	10.12936321	10.24402392	11.02021841	10.89779174	10.49969221	10.46266644	10.4757947	10.73857101	9.81350999	9.783256675	10.04036724	10.46650431	9.765744965	10.10676997	10.03372009			
YDR481C	12.7232337	12.1930103	12.07307813	14.22633045	13.22683228	13.36529696	13.41294608	13.60326566	12.13225935	11.79999545	12.10263697	11.99412926	12.04371606	11.92201636	12.93685745	12.9272188			
YML113W	10.02852322	9.789278572	9.822045546	5.472184114	9.609012648	9.433289101	9.327215161	9.417393994	10.2751292	10.91099089	10.05328405	10.32804125	10.17327093	10.35764224	10.04270276	10.15232736			
YIL157C	12.50721472	13.18208723	13.20708576	12.42543461	12.01332861	12.31947375	12.32919264	12.39191504	12.56731152	12.07562767	12.8080805	12.90406612	13.0506255	12.50985515	11.94561782	12.00059847			
YPR003C	10.29811408	10.05891375	9.972585013	11.56778699	10.5017898	10.61456804	10.47987611	10.42247375	9.910049025	9.781066327	9.585457793	9.574962255	10.06854531	9.632736872	9.902868304	9.73236491			
YNR074C	1.995759049	2.02771196	2.016499305	2.015769113	2.111255013	1.994662731	2.05231836	2.005147668	2.008973758	1.986576319	1.983936086	1.989711488	1.98518985	1.983812178	1.996870937	1.987715705			
YLR154C-H	3.754351817	12.69193013	12.07731606	11.6153619	14.38180041	14.2478108	13.35863063	12.4757054	6.931433838	6.985747949	14.26521626	9.309311966	9.083357665	8.375746761	7.550653183	8.379022631			
YKL012W	11.12662125	10.90448176	10.78163552	11.24799549	11.4072401	11.2879461	11.17201665	11.20545807	11.0215876	11.31855362	10.95872283	11.09371246	11.07362642	11.24876399	11.24139328	11.16440368			
YJL147C	10.24330088	9.698547537	9.705278355	10.61719948	10.30080149	10.30805725	10.21286469	10.27209673	9.860394134	9.386613094	8.974199241	8.778795366	9.126238467	8.78789435	9.033420001	9.142857741			
YDL216C	9.529318326	8.835536915	8.951988963	10.56252347	9.991438072	9.590812391	9.335512805	9.409074145	9.132178252	7.239435952	7.879177564	8.326660226	9.20517286	8.593061647	9.018836327	8.978371226			
YNL320W	10.84847841	10.83909729	10.87363857	11.39753445	11.18805202	11.14610428	11.11986829	11.09228389	11.06237868	11.3640451	11.34777732	11.18020292	11.44612858	11.39197941	11.41927128	11.51316763			
YHL007C	11.53405589	12.05503682	11.92794716	10.2695514	11.65429318	11.71030874	11.81311824	11.75762724	11.96111022	12.36314813	11.93721996	12.02590571	12.15615959	12.06050155	11.98048176	11.97865587			
YPL223C	15.5614718	5.007197014	3.437337558	10.05165202	9.000687698	7.068306377	4.880595458	4.833424765	8.926804102	4.814853417	3.39983866	3.978962184	5.417282722	6.234205021	6.322541055	6.99521736			
YKL138C	12.48828048	13.5291667	13.53399923	11.65832585	11.87227217	11.62924905	11.76780173	11.84431906	12.67440352	12.78510143	13.18347817	12.98017113	12.88203348	12.595567	11.83105172	11.7666787			
YNL126W	10.0229492	9.982997591	9.767841064	10.6066908	10.48939553	10.19317409	10.4415228	10.35553737	10.16205559	9.827119321	9.583125982	9.6587887	9.749531437	9.601680034	9.932006859	9.901394792			
YKL055C	7.869963428	6.506202111	7.157960016	8.014889649	7.081426171	8.002313963	7.439665836	8.34900784	8.502760178	6.990497102	7.182837956	7.243906761	8.178668629	7.64487297	7.422602222	7.55754465			
