ORF	REF0	REF5	REF10	REF30	REF60	REF120	MUT0	MUT5	MUT10	MUT30	MUT60	MUT120
YLR332W	7.690060444	7.724797264	8.390484935	8.639384954	8.138263594	7.521757585	8.131689907	7.752722346	8.227318204	8.562308823	8.801314509	7.881577643
YLR333C	8.542601802	8.220982449	8.552912759	9.919877544	9.605524147	9.097988549	8.516765034	8.904398777	9.098142051	9.155412017	9.1059068	8.566239908
YLR335W	8.118628862	8.247325444	8.122945801	8.679100324	8.837403355	8.486962849	8.126669153	8.136288438	8.144756289	8.507468477	9.032246184	8.641489591
YLR336C	6.130810715	6.340486062	7.043958975	8.067614711	7.658056975	6.72695991	6.577340621	6.424723961	6.609343679	6.728456951	7.616369032	6.778014394
YLR337C	8.014556148	7.676568487	7.673497613	5.294682143	5.32977649	6.980036892	7.278772435	7.558502455	6.641302033	6.625712845	6.076593889	7.062998694
YLR295C	11.96942506	12.27624738	12.07600399	8.726233257	8.648321357	9.369815124	12.29048955	12.43133295	10.706887	10.97451344	8.859029795	10.07986348
YLR297W	7.523531776	5.914561876	5.315938736	3.682185286	3.122033659	5.534081504	7.482414512	6.004961477	4.793622254	4.941268709	3.501108162	5.017370659
YLR298C	6.080358711	6.280632199	6.338870281	6.507927736	6.368847313	6.100476741	6.895098091	6.730744527	6.486442018	6.960056343	7.034107852	6.693517933
YLR299W	8.979726183	8.820597887	7.784498536	4.979191744	6.391907713	7.400228902	8.809180484	8.48672607	7.332229193	7.609791447	7.478496383	8.047090958
YLR300W	10.52684712	10.69920633	11.39821121	10.98570174	10.58887018	11.06621988	11.48650579	11.54442511	12.15294112	12.21460434	12.42538761	12.40604742
YLR301W	8.918269799	9.297312287	9.273908699	9.073025629	9.302975695	10.07497033	9.40234473	9.33628389	9.434836033	9.833572506	10.31938197	10.12557563
YLR303W	13.32211003	13.18264639	13.20955272	13.23876615	12.74609514	13.33825246	13.19367286	13.07575019	13.26277081	13.43843254	12.37094286	13.14710547
YLR304C	12.69132349	12.4797375	11.89373502	5.741729427	6.171452301	9.082636453	13.06697312	12.95228342	10.07758189	9.957478323	5.821379037	9.206693395
YLR305C	8.520594602	8.473237173	8.210471664	8.38465959	9.015856437	9.119151442	8.673779953	8.660036875	8.12236104	8.028939349	8.848296418	8.984747472
YLR306W	5.186429011	5.432750341	5.373204149	4.525866123	5.073796877	5.722674673	5.792063657	5.443931103	4.774318607	4.984557734	5.210005294	6.139176986
YLR307W	5.390820978	4.759816699	3.884985192	2.867270027	3.97270123	5.537101774	6.940702398	6.308638027	5.183709973	5.20417119	5.949363047	7.134814399
YLR308W	2.138263016	2.130126167	2.135565794	2.254567487	2.188007877	2.17322202	2.286056991	2.133936725	2.188757306	2.204406595	2.165221065	2.143935574
